"Payroll Details"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Employee","Pay Period","Pay Date","Hours","Gross Pay","Federal Withholding","Social Security Employee","Medicare Employee","GA Withholding","Net Pay","Social Security Employer","Medicare Employer","Federal Unemployment","GA SUI","Check No."
"Aisha Patel","02/26/2025 to 03/11/2025","03/16/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4161"
"Aisha Patel","03/12/2025 to 03/25/2025","03/30/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4162"
"Aisha Patel","03/26/2025 to 04/08/2025","04/13/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4163"
"Aisha Patel","04/09/2025 to 04/22/2025","04/27/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4164"
"Aisha Patel","04/23/2025 to 05/06/2025","05/11/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4165"
"Aisha Patel","05/07/2025 to 05/20/2025","05/25/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4166"
"Aisha Patel","05/21/2025 to 06/03/2025","06/08/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4167"
"Aisha Patel","06/04/2025 to 06/17/2025","06/22/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4168"
"Aisha Patel","06/18/2025 to 07/01/2025","07/06/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4169"
"Aisha Patel","07/02/2025 to 07/15/2025","07/20/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4170"
"Aisha Patel","07/16/2025 to 07/29/2025","08/03/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4171"
"Aisha Patel","07/30/2025 to 08/12/2025","08/17/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4172"
"Aisha Patel","08/13/2025 to 08/26/2025","08/31/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4173"
"Aisha Patel","08/27/2025 to 09/09/2025","09/14/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4174"
"Aisha Patel","09/10/2025 to 09/23/2025","09/28/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4175"
"Aisha Patel","09/24/2025 to 10/07/2025","10/12/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4176"
"Aisha Patel","10/08/2025 to 10/21/2025","10/26/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4177"
"Aisha Patel","10/22/2025 to 11/04/2025","11/09/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4178"
"Aisha Patel","11/05/2025 to 11/18/2025","11/23/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4179"
"Aisha Patel","11/19/2025 to 12/02/2025","12/07/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4180"
"Aisha Patel","12/03/2025 to 12/16/2025","12/21/2025","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4181"
"Aisha Patel","12/17/2025 to 12/30/2025","01/04/2026","80.00","2,615.38","313.85","162.15","37.92","137.31","1,964.15","162.15","37.92","15.69","70.62","DD-4182"
"Ryan O'Brien","01/01/2025 to 01/14/2025","01/19/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4183"
"Ryan O'Brien","01/15/2025 to 01/28/2025","02/02/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4184"
"Ryan O'Brien","01/29/2025 to 02/11/2025","02/16/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4185"
"Ryan O'Brien","02/12/2025 to 02/25/2025","03/02/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4186"
"Ryan O'Brien","02/26/2025 to 03/11/2025","03/16/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4187"
"Ryan O'Brien","03/12/2025 to 03/25/2025","03/30/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4188"
"Ryan O'Brien","03/26/2025 to 04/08/2025","04/13/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4189"
"Ryan O'Brien","04/09/2025 to 04/22/2025","04/27/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4190"
"Ryan O'Brien","04/23/2025 to 05/06/2025","05/11/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4191"
"Ryan O'Brien","05/07/2025 to 05/20/2025","05/25/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4192"
"Ryan O'Brien","05/21/2025 to 06/03/2025","06/08/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4193"
"Ryan O'Brien","06/04/2025 to 06/17/2025","06/22/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4194"
"Ryan O'Brien","06/18/2025 to 07/01/2025","07/06/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4195"
"Ryan O'Brien","07/02/2025 to 07/15/2025","07/20/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4196"
"Ryan O'Brien","07/16/2025 to 07/29/2025","08/03/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4197"
"Ryan O'Brien","07/30/2025 to 08/12/2025","08/17/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4198"
"Ryan O'Brien","08/13/2025 to 08/26/2025","08/31/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4199"
"Ryan O'Brien","08/27/2025 to 09/09/2025","09/14/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4200"
"Ryan O'Brien","09/10/2025 to 09/23/2025","09/28/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4201"
"Ryan O'Brien","09/24/2025 to 10/07/2025","10/12/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4202"
"Ryan O'Brien","10/08/2025 to 10/21/2025","10/26/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4203"
"Ryan O'Brien","10/22/2025 to 11/04/2025","11/09/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4204"
"Ryan O'Brien","11/05/2025 to 11/18/2025","11/23/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4205"
"Ryan O'Brien","11/19/2025 to 12/02/2025","12/07/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4206"
"Ryan O'Brien","12/03/2025 to 12/16/2025","12/21/2025","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4207"
"Ryan O'Brien","12/17/2025 to 12/30/2025","01/04/2026","80.00","3,000.00","360.00","186.00","43.50","157.50","2,253.00","186.00","43.50","18.00","81.00","DD-4208"
"Keisha Thompson","01/01/2025 to 01/14/2025","01/19/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4209"
"Keisha Thompson","01/15/2025 to 01/28/2025","02/02/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4210"
"Keisha Thompson","01/29/2025 to 02/11/2025","02/16/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4211"
"Keisha Thompson","02/12/2025 to 02/25/2025","03/02/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4212"
"Keisha Thompson","02/26/2025 to 03/11/2025","03/16/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4213"
"Keisha Thompson","03/12/2025 to 03/25/2025","03/30/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4214"
"Keisha Thompson","03/26/2025 to 04/08/2025","04/13/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4215"
"Keisha Thompson","04/09/2025 to 04/22/2025","04/27/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4216"
"Keisha Thompson","04/23/2025 to 05/06/2025","05/11/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4217"
"Keisha Thompson","05/07/2025 to 05/20/2025","05/25/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4218"
"Keisha Thompson","05/21/2025 to 06/03/2025","06/08/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4219"
"Keisha Thompson","06/04/2025 to 06/17/2025","06/22/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4220"
"Keisha Thompson","06/18/2025 to 07/01/2025","07/06/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4221"
"Keisha Thompson","07/02/2025 to 07/15/2025","07/20/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4222"
"Keisha Thompson","07/16/2025 to 07/29/2025","08/03/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4223"
"Keisha Thompson","07/30/2025 to 08/12/2025","08/17/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4224"
"Keisha Thompson","08/13/2025 to 08/26/2025","08/31/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4225"
"Keisha Thompson","08/27/2025 to 09/09/2025","09/14/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4226"
"Keisha Thompson","09/10/2025 to 09/23/2025","09/28/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4227"
"Keisha Thompson","09/24/2025 to 10/07/2025","10/12/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4228"
"Keisha Thompson","10/08/2025 to 10/21/2025","10/26/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4229"
"Keisha Thompson","10/22/2025 to 11/04/2025","11/09/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4230"
"Keisha Thompson","11/05/2025 to 11/18/2025","11/23/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4231"
"Keisha Thompson","11/19/2025 to 12/02/2025","12/07/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4232"
"Keisha Thompson","12/03/2025 to 12/16/2025","12/21/2025","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4233"
"Keisha Thompson","12/17/2025 to 12/30/2025","01/04/2026","80.00","2,384.62","286.15","147.85","34.58","125.19","1,790.85","147.85","34.58","14.31","64.38","DD-4234"
"Lisa Jackson","01/01/2025 to 01/14/2025","01/19/2025","80.5","1,127.00","135.24","69.87","16.34","59.17","846.38","69.87","16.34","6.76","30.43","DD-4235"
"Lisa Jackson","01/15/2025 to 01/28/2025","02/02/2025","60.0","840.00","100.80","52.08","12.18","44.10","630.84","52.08","12.18","5.04","22.68","DD-4236"
"Lisa Jackson","01/29/2025 to 02/11/2025","02/16/2025","85.0","1,190.00","142.80","73.78","17.26","62.48","893.68","73.78","17.26","7.14","32.13","DD-4237"
"Lisa Jackson","02/12/2025 to 02/25/2025","03/02/2025","63.0","882.00","105.84","54.68","12.79","46.30","662.39","54.68","12.79","5.29","23.81","DD-4238"
"Lisa Jackson","02/26/2025 to 03/11/2025","03/16/2025","60.0","840.00","100.80","52.08","12.18","44.10","630.84","52.08","12.18","5.04","22.68","DD-4239"
"Lisa Jackson","03/12/2025 to 03/25/2025","03/30/2025","62.0","868.00","104.16","53.82","12.59","45.57","651.86","53.82","12.59","5.21","23.44","DD-4240"
"Lisa Jackson","03/26/2025 to 04/08/2025","04/13/2025","77.0","1,078.00","129.36","66.84","15.63","56.60","809.57","66.84","15.63","6.47","29.11","DD-4241"
"Lisa Jackson","04/09/2025 to 04/22/2025","04/27/2025","87.0","1,218.00","146.16","75.52","17.66","63.94","914.72","75.52","17.66","7.31","32.89","DD-4242"
"Lisa Jackson","04/23/2025 to 05/06/2025","05/11/2025","88.5","1,239.00","148.68","76.82","17.97","65.05","930.48","76.82","17.97","7.43","33.45","DD-4243"
"Lisa Jackson","05/07/2025 to 05/20/2025","05/25/2025","82.5","1,155.00","138.60","71.61","16.75","60.64","867.40","71.61","16.75","6.93","31.18","DD-4244"
"Lisa Jackson","05/21/2025 to 06/03/2025","06/08/2025","88.5","1,239.00","148.68","76.82","17.97","65.05","930.48","76.82","17.97","7.43","33.45","DD-4245"
"Lisa Jackson","06/04/2025 to 06/17/2025","06/22/2025","86.5","1,211.00","145.32","75.08","17.56","63.58","909.46","75.08","17.56","7.27","32.70","DD-4246"
"Lisa Jackson","06/18/2025 to 07/01/2025","07/06/2025","67.5","945.00","113.40","58.59","13.70","49.61","709.70","58.59","13.70","5.67","25.52","DD-4247"
"Lisa Jackson","07/02/2025 to 07/15/2025","07/20/2025","90.0","1,260.00","151.20","78.12","18.27","66.15","946.26","78.12","18.27","7.56","34.02","DD-4248"
"Lisa Jackson","07/16/2025 to 07/29/2025","08/03/2025","69.5","973.00","116.76","60.33","14.11","51.08","730.72","60.33","14.11","5.84","26.27","DD-4249"
"Lisa Jackson","07/30/2025 to 08/12/2025","08/17/2025","84.5","1,183.00","141.96","73.35","17.15","62.11","888.43","73.35","17.15","7.10","31.94","DD-4250"
"Lisa Jackson","08/13/2025 to 08/26/2025","08/31/2025","84.0","1,176.00","141.12","72.91","17.05","61.74","883.18","72.91","17.05","7.06","31.75","DD-4251"
"Lisa Jackson","08/27/2025 to 09/09/2025","09/14/2025","81.0","1,134.00","136.08","70.31","16.44","59.54","851.63","70.31","16.44","6.80","30.62","DD-4252"
"Lisa Jackson","09/10/2025 to 09/23/2025","09/28/2025","75.0","1,050.00","126.00","65.10","15.22","55.12","788.56","65.10","15.22","6.30","28.35","DD-4253"
"Lisa Jackson","09/24/2025 to 10/07/2025","10/12/2025","69.5","973.00","116.76","60.33","14.11","51.08","730.72","60.33","14.11","5.84","26.27","DD-4254"
"Lisa Jackson","10/08/2025 to 10/21/2025","10/26/2025","89.5","1,253.00","150.36","77.69","18.17","65.78","941.00","77.69","18.17","7.52","33.83","DD-4255"
"Lisa Jackson","10/22/2025 to 11/04/2025","11/09/2025","75.5","1,057.00","126.84","65.53","15.33","55.49","793.81","65.53","15.33","6.34","28.54","DD-4256"
"Lisa Jackson","11/05/2025 to 11/18/2025","11/23/2025","85.5","1,197.00","143.64","74.21","17.36","62.84","898.95","74.21","17.36","7.18","32.32","DD-4257"
"Lisa Jackson","11/19/2025 to 12/02/2025","12/07/2025","82.5","1,155.00","138.60","71.61","16.75","60.64","867.40","71.61","16.75","6.93","31.18","DD-4258"
"Lisa Jackson","12/03/2025 to 12/16/2025","12/21/2025","75.5","1,057.00","126.84","65.53","15.33","55.49","793.81","65.53","15.33","6.34","28.54","DD-4259"
"Lisa Jackson","12/17/2025 to 12/30/2025","01/04/2026","75.5","1,057.00","126.84","65.53","15.33","55.49","793.81","65.53","15.33","6.34","28.54","DD-4260"
"Robert Kim","01/01/2025 to 01/14/2025","01/19/2025","63.5","952.50","114.30","59.06","13.81","50.01","715.32","59.06","13.81","5.72","25.72","DD-4261"
"Robert Kim","01/15/2025 to 01/28/2025","02/02/2025","78.0","1,170.00","140.40","72.54","16.96","61.42","878.68","72.54","16.96","7.02","31.59","DD-4262"
"Robert Kim","01/29/2025 to 02/11/2025","02/16/2025","68.0","1,020.00","122.40","63.24","14.79","53.55","766.02","63.24","14.79","6.12","27.54","DD-4263"
"Robert Kim","02/12/2025 to 02/25/2025","03/02/2025","75.0","1,125.00","135.00","69.75","16.31","59.06","844.88","69.75","16.31","6.75","30.38","DD-4264"
"Robert Kim","02/26/2025 to 03/11/2025","03/16/2025","71.0","1,065.00","127.80","66.03","15.44","55.91","799.82","66.03","15.44","6.39","28.76","DD-4265"
"Robert Kim","03/12/2025 to 03/25/2025","03/30/2025","71.0","1,065.00","127.80","66.03","15.44","55.91","799.82","66.03","15.44","6.39","28.76","DD-4266"
"Robert Kim","03/26/2025 to 04/08/2025","04/13/2025","73.5","1,102.50","132.30","68.36","15.99","57.88","827.97","68.36","15.99","6.62","29.77","DD-4267"
"Robert Kim","04/09/2025 to 04/22/2025","04/27/2025","69.0","1,035.00","124.20","64.17","15.01","54.34","777.28","64.17","15.01","6.21","27.94","DD-4268"
"Robert Kim","04/23/2025 to 05/06/2025","05/11/2025","68.5","1,027.50","123.30","63.70","14.90","53.94","771.66","63.70","14.90","6.16","27.74","DD-4269"
"Robert Kim","05/07/2025 to 05/20/2025","05/25/2025","63.0","945.00","113.40","58.59","13.70","49.61","709.70","58.59","13.70","5.67","25.52","DD-4270"
"Robert Kim","05/21/2025 to 06/03/2025","06/08/2025","67.5","1,012.50","121.50","62.78","14.68","53.16","760.38","62.78","14.68","6.08","27.34","DD-4271"
"Robert Kim","06/04/2025 to 06/17/2025","06/22/2025","60.0","900.00","108.00","55.80","13.05","47.25","675.90","55.80","13.05","5.40","24.30","DD-4272"
"Robert Kim","06/18/2025 to 07/01/2025","07/06/2025","84.0","1,260.00","151.20","78.12","18.27","66.15","946.26","78.12","18.27","7.56","34.02","DD-4273"
"Robert Kim","07/02/2025 to 07/15/2025","07/20/2025","81.5","1,222.50","146.70","75.80","17.73","64.18","918.09","75.80","17.73","7.34","33.01","DD-4274"
"Robert Kim","07/16/2025 to 07/29/2025","08/03/2025","81.5","1,222.50","146.70","75.80","17.73","64.18","918.09","75.80","17.73","7.34","33.01","DD-4275"
"Robert Kim","07/30/2025 to 08/12/2025","08/17/2025","74.5","1,117.50","134.10","69.28","16.20","58.67","839.25","69.28","16.20","6.70","30.17","DD-4276"
"Robert Kim","08/13/2025 to 08/26/2025","08/31/2025","90.0","1,350.00","162.00","83.70","19.58","70.88","1,013.84","83.70","19.58","8.10","36.45","DD-4277"
"Robert Kim","08/27/2025 to 09/09/2025","09/14/2025","78.0","1,170.00","140.40","72.54","16.96","61.42","878.68","72.54","16.96","7.02","31.59","DD-4278"
"Robert Kim","09/10/2025 to 09/23/2025","09/28/2025","69.0","1,035.00","124.20","64.17","15.01","54.34","777.28","64.17","15.01","6.21","27.94","DD-4279"
"Robert Kim","09/24/2025 to 10/07/2025","10/12/2025","80.0","1,200.00","144.00","74.40","17.40","63.00","901.20","74.40","17.40","7.20","32.40","DD-4280"
"Robert Kim","10/08/2025 to 10/21/2025","10/26/2025","84.5","1,267.50","152.10","78.58","18.38","66.54","951.90","78.58","18.38","7.60","34.22","DD-4281"
"Robert Kim","10/22/2025 to 11/04/2025","11/09/2025","86.0","1,290.00","154.80","79.98","18.70","67.72","968.80","79.98","18.70","7.74","34.83","DD-4282"
"Robert Kim","11/05/2025 to 11/18/2025","11/23/2025","90.5","1,357.50","162.90","84.16","19.68","71.27","1,019.49","84.16","19.68","8.14","36.65","DD-4283"
"Robert Kim","11/19/2025 to 12/02/2025","12/07/2025","65.0","975.00","117.00","60.45","14.14","51.19","732.22","60.45","14.14","5.85","26.32","DD-4284"
"Robert Kim","12/03/2025 to 12/16/2025","12/21/2025","85.5","1,282.50","153.90","79.52","18.60","67.33","963.15","79.52","18.60","7.70","34.63","DD-4285"
"Robert Kim","12/17/2025 to 12/30/2025","01/04/2026","61.0","915.00","109.80","56.73","13.27","48.04","687.16","56.73","13.27","5.49","24.70","DD-4286"
